StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q6,Q4,type,sex,climber
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Are you over the age of 18?,Do you consent to the above information?,"How would you rate the ability of this climber to finish the climb they are on (with 1 being not at all, and 5 being the most likely)?",Do you consider yourself a rock climber or have knowledge of the sport?,type,sex,climber
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID6""}","{""ImportId"":""QID4""}","{""ImportId"":""type""}","{""ImportId"":""sex""}","{""ImportId"":""climber""}"
2/7/21 14:51,2/7/21 14:52,IP Address,73.38.32.243,100,35,TRUE,2/7/21 14:52,R_zUPzTpfQF2dA8aR,NA,NA,NA,NA,43.61779785,-72.53540039,anonymous,EN,Yes,"Yes, I Consent",4,Yes,TR,female,yes
2/7/21 15:00,2/7/21 15:01,IP Address,73.38.32.243,100,100,TRUE,2/7/21 15:01,R_2PiBxcLLCO28URH,NA,NA,NA,NA,43.61779785,-72.53540039,anonymous,EN,Yes,"Yes, I Consent",4,Yes,bouldering,male,yes
2/7/21 15:06,2/7/21 15:06,IP Address,174.242.74.180,100,22,TRUE,2/7/21 15:06,R_3g5XQWzMdKylZHz,NA,NA,NA,NA,42.33639526,-71.0326004,anonymous,EN,Yes,"Yes, I Consent",3,No,bouldering,female,no
2/7/21 15:41,2/7/21 15:42,IP Address,73.38.32.243,100,35,TRUE,2/7/21 15:42,R_3HtMUAVr2PabYaJ,NA,NA,NA,NA,43.61779785,-72.53540039,anonymous,EN,Yes,"Yes, I Consent",4,Yes,TR,male,yes
2/7/21 16:14,2/7/21 16:15,IP Address,73.17.139.140,100,53,TRUE,2/7/21 16:15,R_DqviSrhTC0ZJ0kN,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",4,Yes,bouldering,male,yes
2/8/21 8:22,2/8/21 8:23,IP Address,68.173.149.213,100,27,TRUE,2/8/21 8:23,R_20OT14eFV8xPxO4,NA,NA,NA,NA,40.73590088,-73.99040222,anonymous,EN,Yes,"Yes, I Consent",3,No,bouldering,female,no
2/8/21 8:23,2/8/21 8:23,IP Address,144.121.36.209,100,34,TRUE,2/8/21 8:23,R_2wMJXAQYf0hcc0Q,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",3,No,TR,female,no
2/8/21 8:23,2/8/21 8:23,IP Address,144.121.36.211,100,30,TRUE,2/8/21 8:23,R_UX9bWeE1FQgtoA1,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",3,No,bouldering,male,no
2/8/21 8:24,2/8/21 8:24,IP Address,73.69.176.113,100,41,TRUE,2/8/21 8:24,R_33vRx5g7RMqvfsd,NA,NA,NA,NA,42.36540222,-72.46710205,anonymous,EN,Yes,"Yes, I Consent",5,Yes,TR,male,yes
2/8/21 8:25,2/8/21 8:25,IP Address,161.77.42.242,100,27,TRUE,2/8/21 8:25,R_2fHX9MpEAsuCQzo,NA,NA,NA,NA,42.1177063,-72.64450073,anonymous,EN,Yes,"Yes, I Consent",5,Yes,TR,female,yes
2/8/21 8:25,2/8/21 8:25,IP Address,76.28.30.44,100,36,TRUE,2/8/21 8:25,R_3MKUCpqLhKHH8S6,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",4,Yes,bouldering,female,yes
2/8/21 8:25,2/8/21 8:26,IP Address,71.234.179.218,100,30,TRUE,2/8/21 8:26,R_3PG3HEzyrZCSWMW,NA,NA,NA,NA,42.36540222,-72.46710205,anonymous,EN,Yes,"Yes, I Consent",5,No,TR,female,no
2/8/21 8:25,2/8/21 8:26,IP Address,73.167.46.178,100,25,TRUE,2/8/21 8:26,R_2dT3FKVjK3lGhhs,NA,NA,NA,NA,42.36540222,-72.46710205,anonymous,EN,Yes,"Yes, I Consent",3,No,TR,male,no
2/8/21 8:25,2/8/21 8:26,IP Address,96.236.191.80,100,69,TRUE,2/8/21 8:26,R_3PuXDaVajSVYQbK,NA,NA,NA,NA,40.43249512,-79.86299896,anonymous,EN,Yes,"Yes, I Consent",4,Yes,bouldering,female,yes
